team_name,opponent,startdate,match_format,ground,match_result,margin,toss,batting,runs,wickets,overs_played,runs_avg_per_over
India,England,1974-07-15,ODI,The Oval,lost,6 wickets,won,1st,171.0,10.0,47.3,3.6
England,India,1974-07-15,ODI,The Oval,won,6 wickets,lost,2nd,172.0,4.0,48.5,3.52
England,Pakistan,1974-08-31,ODI,Nottingham,lost,7 wickets,won,1st,244.0,4.0,50.0,4.88
Pakistan,England,1974-08-31,ODI,Nottingham,won,7 wickets,lost,2nd,246.0,3.0,42.5,5.74
England,Pakistan,1974-09-03,ODI,Birmingham,lost,8 wickets,lost,1st,81.0,9.0,35.0,2.31
Pakistan,England,1974-09-03,ODI,Birmingham,won,8 wickets,won,2nd,84.0,2.0,18.0,4.66
Australia,England,1975-01-01,ODI,Melbourne,lost,3 wickets,lost,1st,190.0,10.0,34.5,4.11
England,Australia,1975-01-01,ODI,Melbourne,won,3 wickets,won,2nd,191.0,7.0,37.1,3.85
New Zealand,East Africa,1975-06-07,ODI,Birmingham,won,181 runs,won,1st,309.0,5.0,60.0,5.15
East Africa,New Zealand,1975-06-07,ODI,Birmingham,lost,181 runs,lost,2nd,128.0,8.0,60.0,2.13
Australia,Pakistan,1975-06-07,ODI,Leeds,won,73 runs,won,1st,278.0,7.0,60.0,4.63
Pakistan,Australia,1975-06-07,ODI,Leeds,lost,73 runs,lost,2nd,205.0,10.0,53.0,3.86
Sri Lanka,West Indies,1975-06-07,ODI,Manchester,lost,9 wickets,lost,1st,86.0,10.0,37.2,2.3
West Indies,Sri Lanka,1975-06-07,ODI,Manchester,won,9 wickets,won,2nd,87.0,1.0,20.4,4.2
England,New Zealand,1975-06-11,ODI,Nottingham,won,80 runs,lost,1st,266.0,6.0,60.0,4.43
New Zealand,England,1975-06-11,ODI,Nottingham,lost,80 runs,won,2nd,186.0,10.0,60.0,3.1
East Africa,India,1975-06-11,ODI,Leeds,lost,10 wickets,won,1st,120.0,10.0,55.3,2.16
India,East Africa,1975-06-11,ODI,Leeds,won,10 wickets,lost,2nd,123.0,0.0,29.5,4.12
Australia,Sri Lanka,1975-06-11,ODI,The Oval,won,52 runs,lost,1st,328.0,5.0,60.0,5.46
Sri Lanka,Australia,1975-06-11,ODI,The Oval,lost,52 runs,won,2nd,276.0,4.0,60.0,4.6
Pakistan,West Indies,1975-06-11,ODI,Birmingham,lost,1 wickets,won,1st,266.0,7.0,60.0,4.43
West Indies,Pakistan,1975-06-11,ODI,Birmingham,won,1 wickets,lost,2nd,267.0,9.0,59.4,4.47
England,East Africa,1975-06-14,ODI,Birmingham,won,196 runs,lost,1st,290.0,5.0,60.0,4.83
East Africa,England,1975-06-14,ODI,Birmingham,lost,196 runs,won,2nd,94.0,10.0,52.3,1.79
India,New Zealand,1975-06-14,ODI,Manchester,lost,4 wickets,won,1st,230.0,10.0,60.0,3.83
New Zealand,India,1975-06-14,ODI,Manchester,won,4 wickets,lost,2nd,233.0,6.0,58.5,3.96
Australia,West Indies,1975-06-14,ODI,The Oval,lost,7 wickets,lost,1st,192.0,10.0,53.4,3.57
West Indies,Australia,1975-06-14,ODI,The Oval,won,7 wickets,won,2nd,195.0,3.0,46.0,4.23
Pakistan,Sri Lanka,1975-06-14,ODI,Nottingham,won,192 runs,lost,1st,330.0,6.0,60.0,5.5
Sri Lanka,Pakistan,1975-06-14,ODI,Nottingham,lost,192 runs,won,2nd,138.0,10.0,50.1,2.75
England,Australia,1975-06-18,ODI,Leeds,lost,4 wickets,lost,1st,93.0,10.0,36.2,2.55
Australia,England,1975-06-18,ODI,Leeds,won,4 wickets,won,2nd,94.0,6.0,28.4,3.27
New Zealand,West Indies,1975-06-18,ODI,The Oval,lost,5 wickets,lost,1st,158.0,10.0,52.2,3.01
West Indies,New Zealand,1975-06-18,ODI,The Oval,won,5 wickets,won,2nd,159.0,5.0,40.1,3.95
West Indies,Australia,1975-12-20,ODI,Adelaide,lost,5 wickets,lost,1st,224.0,10.0,37.6,4.45
Australia,West Indies,1975-12-20,ODI,Adelaide,won,5 wickets,won,2nd,225.0,5.0,31.5,5.33
India,New Zealand,1976-02-21,ODI,Christchurch,lost,9 wickets,won,1st,154.0,10.0,35.0,3.3
New Zealand,India,1976-02-21,ODI,Christchurch,won,9 wickets,lost,2nd,155.0,1.0,30.3,3.82
New Zealand,India,1976-02-22,ODI,Auckland,won,80 runs,won,1st,236.0,8.0,35.0,5.05
India,New Zealand,1976-02-22,ODI,Auckland,lost,80 runs,lost,2nd,156.0,10.0,31.6,3.68
England,West Indies,1976-08-26,ODI,Scarborough,lost,6 wickets,lost,1st,202.0,8.0,55.0,3.67
West Indies,England,1976-08-26,ODI,Scarborough,won,6 wickets,won,2nd,207.0,4.0,41.0,5.04
West Indies,England,1976-08-30,ODI,Birmingham,won,50 runs,lost,1st,223.0,9.0,32.0,6.96
England,West Indies,1976-08-30,ODI,Birmingham,lost,50 runs,won,2nd,173.0,10.0,31.4,5.46
New Zealand,Pakistan,1976-10-16,ODI,Sialkot,won,1 runs,won,1st,198.0,8.0,35.0,4.24
Pakistan,New Zealand,1976-10-16,ODI,Sialkot,lost,1 runs,lost,2nd,197.0,9.0,35.0,4.22
Pakistan,West Indies,1977-03-16,ODI,Albion,lost,4 wickets,lost,1st,176.0,7.0,45.0,3.91
West Indies,Pakistan,1977-03-16,ODI,Albion,won,4 wickets,won,2nd,182.0,6.0,43.2,4.2
Australia,England,1977-06-02,ODI,Manchester,lost,2 wickets,won,1st,169.0,9.0,55.0,3.07
England,Australia,1977-06-02,ODI,Manchester,won,2 wickets,lost,2nd,173.0,8.0,45.2,3.81
England,Australia,1977-06-04,ODI,Birmingham,won,101 runs,lost,1st,171.0,10.0,53.5,3.17
Australia,England,1977-06-04,ODI,Birmingham,lost,101 runs,won,2nd,70.0,10.0,25.2,2.76
England,Australia,1977-06-06,ODI,The Oval,lost,2 wickets,lost,1st,242.0,10.0,54.2,4.45
Australia,England,1977-06-06,ODI,The Oval,won,2 wickets,won,2nd,246.0,8.0,53.2,4.61
Pakistan,England,1977-12-23,ODI,Sahiwal,lost,3 wickets,won,1st,208.0,6.0,35.0,4.45
England,Pakistan,1977-12-23,ODI,Sahiwal,won,3 wickets,lost,2nd,212.0,7.0,35.0,4.54
Pakistan,England,1977-12-30,ODI,Sialkot,lost,6 wickets,lost,1st,151.0,10.0,33.7,3.34
England,Pakistan,1977-12-30,ODI,Sialkot,won,6 wickets,won,2nd,152.0,4.0,32.7,3.46
Pakistan,England,1978-01-13,ODI,Lahore,won,36 runs,lost,1st,158.0,6.0,35.0,3.38
West Indies,Australia,1978-04-12,ODI,Castries,lost,2 wickets,won,1st,139.0,10.0,34.4,4.0
Australia,West Indies,1978-04-12,ODI,Castries,won,2 wickets,lost,2nd,140.0,8.0,35.0,4.0
England,Pakistan,1978-05-24,ODI,Manchester,won,132 runs,won,1st,217.0,7.0,55.0,3.94
Pakistan,England,1978-05-24,ODI,Manchester,lost,132 runs,lost,2nd,85.0,10.0,47.0,1.8
England,Pakistan,1978-05-26,ODI,The Oval,won,94 runs,lost,1st,248.0,6.0,55.0,4.5
Pakistan,England,1978-05-26,ODI,The Oval,lost,94 runs,won,2nd,154.0,8.0,55.0,2.8
England,New Zealand,1978-07-15,ODI,Scarborough,won,19 runs,lost,1st,206.0,8.0,55.0,3.74
New Zealand,England,1978-07-15,ODI,Scarborough,lost,19 runs,won,2nd,187.0,8.0,55.0,3.4
England,New Zealand,1978-07-17,ODI,Manchester,won,126 runs,won,1st,278.0,5.0,55.0,5.05
New Zealand,England,1978-07-17,ODI,Manchester,lost,126 runs,lost,2nd,152.0,10.0,41.2,3.67
India,Pakistan,1978-10-01,ODI,Quetta,won,4 runs,won,1st,170.0,7.0,40.0,4.25
Pakistan,India,1978-10-01,ODI,Quetta,lost,4 runs,lost,2nd,166.0,8.0,40.0,4.15
India,Pakistan,1978-10-13,ODI,Sialkot,lost,8 wickets,lost,1st,79.0,10.0,34.2,2.3
Pakistan,India,1978-10-13,ODI,Sialkot,won,8 wickets,won,2nd,83.0,2.0,16.5,4.93
Pakistan,India,1978-11-03,ODI,Sahiwal,won,,won,1st,205.0,7.0,40.0,5.12
India,Pakistan,1978-11-03,ODI,Sahiwal,lost,,lost,2nd,183.0,2.0,37.4,4.85
Australia,England,1979-01-24,ODI,Melbourne,lost,7 wickets,won,1st,101.0,10.0,33.5,2.25
England,Australia,1979-01-24,ODI,Melbourne,won,7 wickets,lost,2nd,102.0,3.0,28.2,2.7
England,Australia,1979-02-04,ODI,Melbourne,lost,4 wickets,lost,1st,212.0,6.0,40.0,3.97
Australia,England,1979-02-04,ODI,Melbourne,won,4 wickets,won,2nd,215.0,6.0,38.6,4.16
England,Australia,1979-02-07,ODI,Melbourne,lost,6 wickets,lost,1st,94.0,10.0,31.7,2.21
Australia,England,1979-02-07,ODI,Melbourne,won,6 wickets,won,2nd,95.0,4.0,21.5,3.29
India,West Indies,1979-06-09,ODI,Birmingham,lost,9 wickets,lost,1st,190.0,10.0,53.1,3.57
West Indies,India,1979-06-09,ODI,Birmingham,won,9 wickets,won,2nd,194.0,1.0,51.3,3.76
Sri Lanka,New Zealand,1979-06-09,ODI,Nottingham,lost,9 wickets,lost,1st,189.0,10.0,56.5,3.32
New Zealand,Sri Lanka,1979-06-09,ODI,Nottingham,won,9 wickets,won,2nd,190.0,1.0,47.4,3.98
Canada,Pakistan,1979-06-09,ODI,Leeds,lost,8 wickets,won,1st,139.0,9.0,60.0,2.31
Pakistan,Canada,1979-06-09,ODI,Leeds,won,8 wickets,lost,2nd,140.0,2.0,40.1,3.48
India,New Zealand,1979-06-13,ODI,Leeds,lost,8 wickets,lost,1st,182.0,10.0,55.5,3.25
New Zealand,India,1979-06-13,ODI,Leeds,won,8 wickets,won,2nd,183.0,2.0,57.0,3.21
Pakistan,Australia,1979-06-13,ODI,Nottingham,won,89 runs,lost,1st,286.0,7.0,60.0,4.76
