player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
922941,2020,3,41.0,41*,20.5,0.0,,,,,0.0,0.0,,T20I,1
922941,2023,3,23.0,23,7.66,0.0,,,,,3.0,0.0,,T20I,2
386982,2022,3,45.0,34,15.0,0.0,0.0,,,0.0,1.0,0.0,,T20I,3
1156435,2019,2,13.0,11,6.5,0.0,0.0,,,0.0,0.0,0.0,,T20I,4
1156435,2022,3,3.0,2,3.0,0.0,2.0,1/19,33.0,0.0,1.0,0.0,-29.99,T20I,5
1217275,2020,4,15.0,12,15.0,0.0,8.0,4/23,9.75,0.0,0.0,0.0,5.25,T20I,6
1217275,2021,2,,,,,2.0,2/23,20.5,0.0,0.0,0.0,,T20I,7
1217275,2022,1,,,,,0.0,,,0.0,0.0,0.0,,T20I,8
1217275,2024,2,,,,,0.0,,,0.0,0.0,0.0,,T20I,9
1059030,2021,1,0.0,0,0.0,0.0,,,,,2.0,0.0,,Test,10
1059030,2023,1,22.0,17,11.0,0.0,,,,,2.0,0.0,,Test,11
1059030,2024,1,9.0,9,9.0,0.0,,,,,0.0,0.0,,ODI,12
1271987,2022,2,,,,,,,,,0.0,0.0,,T20I,13
1318851,2023,5,58.0,23*,29.0,0.0,8.0,2/9,13.37,0.0,1.0,0.0,15.62,T20I,14
1318851,2024,3,15.0,15,7.5,0.0,2.0,2/11,35.0,0.0,0.0,0.0,-27.49,T20I,15
38973,1977,1,11.0,11,11.0,0.0,1.0,1/82,82.0,0.0,0.0,0.0,-70.99,Test,16
38973,1978,2,25.0,21,12.5,0.0,11.0,6/44,20.27,1.0,2.0,0.0,-7.77,Test,17
38973,1979,3,72.0,29*,18.0,0.0,2.0,1/27,86.5,0.0,3.0,0.0,-68.49,Test,18
38973,1980,2,23.0,18*,7.66,0.0,8.0,4/131,28.0,0.0,0.0,0.0,-20.33,Test,19
38973,1982,7,86.0,29,12.28,0.0,38.0,7/142,29.21,2.0,1.0,0.0,-16.92,Test,20
38973,1983,8,128.0,45,18.28,0.0,17.0,5/166,59.47,1.0,0.0,0.0,-41.18,Test,21
38973,1984,8,141.0,50,15.66,0.0,35.0,5/74,27.62,4.0,2.0,0.0,-11.96,Test,22
38973,1985,5,93.0,54,18.6,0.0,11.0,5/44,44.63,1.0,3.0,0.0,-26.03,Test,23
38973,1986,5,69.0,20,11.5,0.0,23.0,6/16,23.26,1.0,1.0,0.0,-11.76,Test,24
38973,1987,10,213.0,61,21.3,0.0,45.0,9/56,25.08,4.0,2.0,0.0,-3.78,Test,25
38973,1988,6,106.0,19,13.25,0.0,25.0,4/83,34.32,0.0,1.0,0.0,-21.06,Test,26
38973,1989,6,55.0,39*,27.5,0.0,14.0,6/160,46.78,1.0,0.0,0.0,-19.28,Test,27
38973,1990,4,7.0,6*,3.5,0.0,6.0,2/5,47.33,0.0,0.0,0.0,-43.83,Test,28
38973,1983,6,62.0,41*,31.0,0.0,12.0,5/44,22.0,1.0,1.0,0.0,9.0,ODI,29
38973,1984,11,70.0,23,7.77,0.0,18.0,5/53,21.27,1.0,4.0,0.0,-13.49,ODI,30
38973,1985,11,62.0,37,62.0,0.0,11.0,4/17,27.81,0.0,0.0,0.0,34.18,ODI,31
38973,1986,15,127.0,34,15.87,0.0,24.0,4/9,18.62,0.0,6.0,0.0,-2.74,ODI,32
38973,1987,19,146.0,39,24.33,0.0,32.0,4/31,21.59,0.0,3.0,0.0,2.73,ODI,33
38973,1988,13,34.0,10,6.8,0.0,13.0,3/27,37.15,0.0,3.0,0.0,-30.35,ODI,34
